Nome do produto,Variante de produto,SKU,Preço,Quantidade,Vendas brutas,Descontos,Impostos,Total de itens
The International 2016 Multikill Banner,Desconhecido,Desconhecido,Desconhecido,6,"R$ 6,80","R$ 0,80","R$ 0,00","R$ 6,00"
Golden Draca Mane,Desconhecido,Desconhecido,Desconhecido,10,"R$ 6,73","R$ 0,74","R$ 0,00","R$ 5,99"
Taunt: Fluid Mechanics,Desconhecido,Desconhecido,Desconhecido,10,"R$ 7,01","R$ 1,02","R$ 0,00","R$ 5,99"
Taunt: The Gold Dip,Desconhecido,Desconhecido,Desconhecido,4,"R$ 6,68","R$ 0,73","R$ 0,00","R$ 5,95"
Pachyderm Powderwagon Spoon,Desconhecido,Desconhecido,Desconhecido,2,"R$ 6,31","R$ 0,44","R$ 0,00","R$ 5,87"
Moon Griffon,Desconhecido,Desconhecido,Desconhecido,2,"R$ 5,80","R$ 0,00","R$ 0,00","R$ 5,80"
Hunger of the Howling Wilds Arms,Desconhecido,Desconhecido,Desconhecido,2,"R$ 7,50","R$ 1,74","R$ 0,00","R$ 5,76"
Genuine Frull,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,75","R$ 0,00","R$ 0,00","R$ 5,75"
Taunt: Heavenly Jump!,Desconhecido,Desconhecido,Desconhecido,4,"R$ 8,34","R$ 2,62","R$ 0,00","R$ 5,72"
Colossal Crystal Chorus,Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,00","R$ 0,30","R$ 0,00","R$ 5,70"
Desert Burn Outfit,Desconhecido,Desconhecido,Desconhecido,1,"R$ 6,00","R$ 0,30","R$ 0,00","R$ 5,70"
Arcanic Resonance Beam,Desconhecido,Desconhecido,Desconhecido,14,"R$ 7,64","R$ 1,96","R$ 0,00","R$ 5,68"
The Rose of Ristul,Desconhecido,Desconhecido,Desconhecido,8,"R$ 8,36","R$ 2,69","R$ 0,00","R$ 5,67"
Exalted Call of the Bladeform Legacy,Desconhecido,Desconhecido,Desconhecido,4,"R$ 5,71","R$ 0,05","R$ 0,00","R$ 5,66"
Scale of Bitter Spoil,Desconhecido,Desconhecido,Desconhecido,12,"R$ 8,07","R$ 2,42","R$ 0,00","R$ 5,65"
Hearts of Misrule,Desconhecido,Desconhecido,Desconhecido,7,"R$ 8,35","R$ 2,75","R$ 0,00","R$ 5,60"
Inscribed Bloodstained Britches,Desconhecido,Desconhecido,Desconhecido,1,"R$ 5,54","R$ 0,00","R$ 0,00","R$ 5,54"
